"Product name","Product description","Price","Category","Subcategory","Color","Size","Material","Tags","Product link","Image link","Brand / seller name"
"Casa Capiz Shell Hair Clip","A bridal hair accessory made from capiz shell, designed for Filipino weddings.","PHP 5369.75","Accessories","Hair Clip","White","Unspecified","Capiz shell","hair clip, bridal, capiz, Filipino","Unspecified","Unspecified","SintaWeddings"
"Traditional Red Malong Handwoven Textile Wrap","A handwoven red malong textile, versatile as a wrap, skirt, or blanket, showcasing Philippine weaving heritage.","PHP 6912.96","Accessories","Textile Wrap","Red","Unspecified","Handwoven textile","malong, textile, Filipino, handwoven","Unspecified","Unspecified","SintaWeddings"
"Filipino Food Art Sticker (Dinuguan)","Sticker featuring dinuguan pork blood stew in cartoon art style.","PHP 0.00","Stickers","Food Art","Dark Brown","Small","Paper","sticker, dinuguan, Filipino food","Unspecified","Unspecified","YourCoolNinang"
"Filipino Food Art Sticker (Caldereta)","Sticker featuring caldereta beef stew in playful cartoon style.","PHP 0.00","Stickers","Food Art","Red","Small","Paper","sticker, caldereta, Filipino food","Unspecified","Unspecified","YourCoolNinang"
"Filipino Food Art Sticker (Arroz Caldo)","Sticker featuring arroz caldo rice porridge in cartoon art style.","PHP 0.00","Stickers","Food Art","Yellow","Small","Paper","sticker, arroz caldo, Filipino food","Unspecified","Unspecified","YourCoolNinang"
"Filipino Food Art Sticker (Ginataang Bilo-Bilo)","Sticker featuring ginataang bilo-bilo dessert in playful cartoon style.","PHP 0.00","Stickers","Food Art","White","Small","Paper","sticker, bilo-bilo, Filipino dessert","Unspecified","Unspecified","YourCoolNinang"
"Filipino Food Art Sticker (Kutsinta)","Sticker featuring kutsinta rice cake in cartoon art style.","PHP 0.00","Stickers","Food Art","Brown","Small","Paper","sticker, kutsinta, Filipino dessert","Unspecified","Unspecified","YourCoolNinang"
"Filipino Food Art Sticker (Longganisa)","Sticker featuring longganisa sausages in playful cartoon style.","PHP 0.00","Stickers","Food Art","Red","Small","Paper","sticker, longganisa, Filipino food","Unspecified","Unspecified","YourCoolNinang"
"Filipino Food Art Sticker (Tapsilog)","Sticker featuring tapsilog breakfast combo in cartoon art style.","PHP 0.00","Stickers","Food Art","Brown","Small","Paper","sticker, tapsilog, Filipino food","Unspecified","Unspecified","YourCoolNinang"
"Filipino Food Art Sticker (Champorado with Tuyo)","Sticker featuring champorado with tuyo pairing in playful cartoon style.","PHP 0.00","Stickers","Food Art","Dark Brown","Small","Paper","sticker, champorado tuyo, Filipino food","Unspecified","Unspecified","YourCoolNinang"
"Filipino Food Art Sticker (Pandesal)","Sticker featuring pandesal bread rolls in cartoon art style.","PHP 0.00","Stickers","Food Art","Golden","Small","Paper","sticker, pandesal, Filipino bread","Unspecified","Unspecified","YourCoolNinang"
"Palabok Noodles Filipino Food Magnet","Handmade magnet featuring palabok noodles design, perfect for Filipino food lovers.","PHP 617.28","Decor","Magnet","Orange","Small","Resin","magnet, palabok, Filipino food","Unspecified","Unspecified","YourCoolNinang"
"Philippines Glitter Dominoes","Decorative dominoes set with glitter finish, inspired by Filipino culture.","PHP 0.00","Decor","Game Set","Multicolor","Unspecified","Resin","dominoes, glitter, Filipino","Unspecified","Unspecified","YourCoolNinang"
"Philippines Flag Inspired Badge Reel","Badge reel ID holder inspired by the Philippine flag.","PHP 0.00","Decor","Badge Reel","Multicolor","Small","Plastic","badge reel, Philippines flag, Filipino","Unspecified","Unspecified","YourCoolNinang"
"Philippines Tagalog Funny Magnets","Magnets featuring humorous Tagalog phrases, celebrating Filipino humor.","PHP 0.00","Decor","Magnet","Multicolor","Small","Resin","magnet, funny, Tagalog, Filipino","Unspecified","Unspecified","YourCoolNinang"
"Philippines Inspired Monogram Keychain","Durable keychain with sharp colors and Filipino-inspired monogram design.","PHP 0.00","Keychains","Monogram","Multicolor","Small","Metal","keychain, monogram, Filipino","Unspecified","Unspecified","YourCoolNinang"
"Philippines Flag Hair Bow","Hair accessory bow inspired by the Philippine flag.","PHP 0.00","Keychains/Hair Accessories","Hair Bow","Multicolor","Small","Fabric","hair bow, Philippines flag, Filipino","Unspecified","Unspecified","YourCoolNinang"
"Filipino-Inspired Pendant Necklace","Minimalist necklace featuring Filipino-inspired pendant design.","PHP 0.00","Jewelry","Pendant","Silver","Small","Metal","necklace, pendant, Filipino jewelry","Unspecified","Unspecified","YourCoolNinang"
"Philippines Flag Hair Bow","Hair accessory bow inspired by the Philippine flag.","PHP 0.00","Hair Accessories","Hair Bow","Multicolor","Small","Fabric","hair bow, Philippines flag, Filipino","Unspecified","Unspecified","YourCoolNinang"
"Philippines-Themed T-Shirt","Casual apparel item featuring Filipino-themed design.","PHP 0.00","Apparel","T-Shirt","White","Medium","Cotton","shirt, Filipino, apparel","Unspecified","Unspecified","YourCoolNinang"
"Filipino Humor Hoodie","Hoodie with humorous Tagalog phrase design.","PHP 0.00","Apparel","Hoodie","Black","Large","Cotton","hoodie, Tagalog humor, Filipino apparel","Unspecified","Unspecified","YourCoolNinang"
"Palabok Noodles Magnet","Handmade magnet featuring palabok noodles design.","PHP 617.28","Magnets","Food Magnet","Orange","Small","Resin","magnet, palabok, Filipino food","Unspecified","Unspecified","YourCoolNinang"
"Small Seashell Lamp With Handmade Art","Pretty night lamp, seashell home decor, Filipino gifts.","PHP 1111.11","Philippine Handicrafts","Lamp","White","Small","Seashell","lamp, seashell, handmade, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Nito Square Coaster Set of 6 with Holder","Woven coasters with casing, dining accessory, Filipino gifts.","PHP 1728.40","Philippine Handicrafts","Coaster","Brown","Set of 6","Nito","woven, coaster, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Bamboo Back Scratcher Set of 2","Wooden gifts, Filipino wood art, unique gift for couples.","PHP 1111.11","Philippine Handicrafts","Back Scratcher","Brown","Set of 2","Bamboo","wooden, bamboo, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Capiz Coaster Silver Edging Set of 6","Capiz coasters with silver edging, Filipino arts and crafts.","PHP 1111.11","Philippine Handicrafts","Coaster","White","Set of 6","Capiz","capiz, coaster, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Wooden Bowls Set of 2","Wooden kitchen bowls, Filipino wood product.","PHP 1543.21","Philippine Handicrafts","Bowl","Brown","Set of 2","Wood","wooden, bowl, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Nito Coaster Set of 6 with Holder","Woven coasters with casing, Filipino souvenir gift ideas.","PHP 1728.40","Philippine Handicrafts","Coaster","Brown","Set of 6","Nito","woven, coaster, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Premium Sungka Game Board With Shells","Traditional Filipino mancala board game.","PHP 3086.42","Philippine Handicrafts","Game Board","Brown","Standard","Wood","sungka, board game, Filipino traditional","Unspecified","Unspecified","PrettyfulShop"
"Kamagong Spatula and Spoon Pair","Kitchen gifts, beautiful wooden spoon, Filipino souvenirs.","PHP 1543.21","Philippine Handicrafts","Utensil","Brown","Pair","Wood","wooden, spoon, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"3 Real Preserved Framed Butterfly Wall Art","Framed butterflies home decor, Filipino gifts.","PHP 1851.85","Philippine Handicrafts","Wall Art","Multicolor","Set of 3","Butterfly","butterfly, wall art, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Hand Shaped Wooden Carved Ashtray","Hand carved wooden ashtray, Filipino souvenirs.","PHP 1111.11","Philippine Handicrafts","Ashtray","Brown","Standard","Wood","ashtray, carved, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Colorful Capiz Shell Wind Chimes","Indoor/outdoor windchimes, Filipino gifts.","PHP 1234.57","Philippine Handicrafts","Wind Chime","Multicolor","Standard","Capiz","windchime, capiz, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Coaster Set of 6 with Jar","Wooden coasters with case holder, Filipino souvenirs.","PHP 2777.78","Philippine Handicrafts","Coaster","Brown","Set of 6","Wood","coaster, wooden, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Wooden Turtle Toy","Moving turtle toy figure, Filipino gifts.","PHP 1111.11","Philippine Handicrafts","Toy","Brown","Standard","Wood","turtle, toy, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Clam Shell Flowers and Seashell Base","Sea shell home decor, Filipino gifts.","PHP 1728.40","Philippine Handicrafts","Decor","White","Standard","Seashell","clam shell, decor, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Kalesa Orange Background Spoon and Fork Wall Decor","Ethnic spoon and fork wall decor set.","PHP 2160.49","Philippine Handicrafts","Wall Decor","Orange","Set","Spoon/Fork","kalesa, wall decor, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Wood Carving Love Birds Jewelry Box","Wooden wicker jewelry box with bird carvings.","PHP 1111.11","Philippine Handicrafts","Jewelry Box","Brown","Standard","Wood","jewelry box, carved, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Blue Kalesa Background Spoon and Fork Wall Decor","Ethnic spoon and fork wall decor set.","PHP 2160.49","Philippine Handicrafts","Wall Decor","Blue","Set","Spoon/Fork","kalesa, wall decor, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Oblong-shaped Capiz Shell Plate Set","Decorative plates, Filipino gifts.","PHP 1728.40","Philippine Handicrafts","Plate","White","Set","Capiz","capiz, plate, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Wooden Perpetual Calendar","Natural color wood tile calendar, Filipino art.","PHP 1728.40","Philippine Handicrafts","Calendar","Brown","Standard","Wood","calendar, wooden, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Bamboo Wind Chime","Handmade wooden wind chimes, Filipino souvenirs.","PHP 1234.57","Philippine Handicrafts","Wind Chime","Brown","Standard","Bamboo","windchime, bamboo, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Philippine Tricycle Die-Cast Metal Gold Edition Toy","Collectible vehicle toy, Filipino souvenir, unique gift for him.","PHP 1728.40","Philippine Souvenir","Toy","Gold","Standard","Metal","tricycle, collectible, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Philippine Jeepney Die-Cast Metal Model Toy","Philippine jeepney toy souvenir, collectible vehicle toy.","PHP 1728.40","Philippine Souvenir","Toy","Multicolor","Standard","Metal","jeepney, collectible, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Philippine Miniature Jeepney Metal Toy","Metal jeepney toy model, Filipino product souvenir.","PHP 1234.57","Philippine Souvenir","Toy","Multicolor","Standard","Metal","miniature jeepney, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Jeepney Keychain Made in Philippines","Silver jeepney key ring, Filipino memorabilia.","PHP 925.93","Philippine Souvenir","Keychain","Silver","Small","Metal","jeepney, keychain, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Seashell Souvenir With Engraved Bahay Kubo","Sea shell tabletop decoration, Filipino gifts.","PHP 740.74","Philippine Souvenir","Decor","White","Standard","Seashell","souvenir, seashell, bahay kubo","Unspecified","Unspecified","PrettyfulShop"
"Bahay Kubo Wooden Keychain Holder Set of 2","Nipa hut figure key chain, wooden lovers gift.","PHP 740.74","Philippine Souvenir","Keychain","Brown","Set of 2","Wood","bahay kubo, wooden keychain, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Seashell Paper Weight","Sea shell tabletop decoration, Filipino gifts.","PHP 1543.21","Philippine Souvenir","Paperweight","White","Standard","Seashell","souvenir, seashell, paperweight","Unspecified","Unspecified","PrettyfulShop"
"Handheld Foldable Fan with Mangingisda Print","Folding manual fan, Philippine souvenir, gawang Pinoy.","PHP 1234.57","Philippine Souvenir","Fan","Multicolor","Standard","Paper","fan, souvenir, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Philippine Kalesa Die-Cast Metal Gold Edition","Collectible horse chariot toy and décor.","PHP 1728.40","Philippine Souvenir","Toy","Gold","Standard","Metal","kalesa, collectible, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Seashell Keychain With Art","Unique Filipino souvenir, sea shell lovers gift.","PHP 617.28","Philippine Souvenir","Keychain","White","Small","Seashell","souvenir, seashell, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Philippine Flag Design Beaded Keychain Holder","Filipino beads art, gift for beads lovers.","PHP 740.74","Philippine Souvenir","Keychain","Multicolor","Small","Beads","flag design, beaded keychain, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Philippine Pedicab Die-Cast Metal Gold Edition Toy","Limited edition collectible toy, Filipino souvenir.","PHP 1728.40","Philippine Souvenir","Toy","Gold","Standard","Metal","pedicab, collectible, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Jeepney Flat Ref Magnet","Philippine jeepney refrigerator magnet, Filipino souvenir.","PHP 740.74","Philippine Souvenir","Magnet","Multicolor","Flat","Magnet","jeepney, fridge magnet, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Tricycle Flat Ref Magnet","Philippine tricycle refrigerator magnet, Filipino souvenir.","PHP 740.74","Philippine Souvenir","Magnet","Multicolor","Flat","Magnet","tricycle, fridge magnet, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Philippine Flag Pin","National flag enamel pin badge, Filipino souvenir.","PHP 740.74","Philippine Souvenir","Pin","Multicolor","Small","Metal","flag pin, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Philippine Flag Enamel Pin Badge with Pole","Flag lapel pin, Filipino souvenir.","PHP 740.74","Philippine Souvenir","Pin","Multicolor","Small","Metal","flag enamel pin, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Philippine Kalesa Die-Cast Metal","Collectible horse chariot toy and décor.","PHP 1728.40","Philippine Souvenir","Toy","Multicolor","Standard","Metal","kalesa, collectible, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Seashell Keychain With Art (Gift for Her)","Unique Filipino souvenir, sea shell lovers gift.","PHP 617.28","Philippine Souvenir","Keychain","White","Small","Seashell","souvenir, seashell, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Real Framed Butterfly Set Bundle Deals","Set of 3 framed preserved butterflies, hanging wall decor, butterfly lovers gifts.","PHP 3086.42","Bundle Deals","Wall Art","Multicolor","Set of 3","Butterfly","butterfly, framed, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Small Barrel Man Funny Souvenir Set of 2","Wood carving gift, Filipino humor souvenir, bundle deal.","PHP 2160.49","Bundle Deals","Figurine","Brown","Set of 2","Wood","barrel man, funny, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Gold Edition Kalesa and Small Barrel Man Figurine","Unique Filipino gift bundle set, 2-in-1 souvenir.","PHP 2160.49","Bundle Deals","Figurine","Gold/Brown","Standard","Metal/Wood","kalesa, barrel man, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Seashell Shoulder Bag","Sea shell handmade women's bag, Filipino gifts, seashell lover's gift.","PHP 2469.14","Bundle Deals","Bag","White","Standard","Seashell","seashell, bag, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Bahay Kubo Inside a Bottle Art and Bamboo Wind Chime","Unique Filipino souvenir gift bundle set.","PHP 3086.42","Bundle Deals","Decor","Multicolor","Standard","Bamboo/Glass","bahay kubo, wind chime, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Wooden Pestle and Mortar with Barrel Man Figurine","Wooden gift set, Filipino souvenir bundle.","PHP 3086.42","Bundle Deals","Kitchenware","Brown","Standard","Wood","pestle, mortar, barrel man, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Apple Design and Scallop Design Capiz Tray Set","Decorative capiz plates bundle gifts.","PHP 3086.42","Bundle Deals","Tray","White","Set of 2","Capiz","capiz, tray, Filipino souvenir","Unspecified","Unspecified","PrettyfulShop"
"Green Kalesa and Small Barrel Man Figurine","Unique Filipino gift bundle set, 2-in-1 souvenir.","PHP 2160.49","Bundle Deals","Figurine","Green/Brown","Standard","Metal/Wood","kalesa, barrel man, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"San Miguel Beer Wooden Mug and Barrel Man Figurine","Wooden souvenir mug bundle gift set.","PHP 1728.40","Bundle Deals","Mug","Brown","Standard","Wood","beer mug, barrel man, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Yellow Jeepney Die-Cast Metal Toy and Barrel Man Figurine","Bundle gift set, Filipino souvenir.","PHP 2160.49","Bundle Deals","Toy","Yellow/Brown","Standard","Metal/Wood","jeepney, barrel man, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Carved Sitting Lady Wood Frame with Black Carabao","Wooden gifts, Filipino souvenir bundle.","PHP 3086.42","Bundle Deals","Frame","Brown/Black","Standard","Wood","lady frame, carabao, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"6in Barrel Man and Bamboo Wind Chime","Funny Filipino barrel man figurine bundle gift set.","PHP 1728.40","Bundle Deals","Figurine","Brown","6in","Wood/Bamboo","barrel man, wind chime, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Black Elephant and Bamboo Wind Chime","Home decor bundle gift set, Filipino souvenir.","PHP 1728.40","Bundle Deals","Decor","Black/Brown","Standard","Wood/Bamboo","elephant, wind chime, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Bahay Kubo Inside a Bottle Art and Handheld Fan","Unique Filipino souvenir gift bundle set.","PHP 3086.42","Bundle Deals","Decor","Multicolor","Standard","Wood/Paper","bahay kubo, fan, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Native Coin Wallet with White Shell Keychain","Bundle gift set, Filipino souvenir.","PHP 925.93","Bundle Deals","Wallet","Brown/White","Standard","Leather/Shell","coin wallet, shell keychain, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"Real Framed Butterfly Set (Alternate)","Set of 3 framed preserved butterflies, hanging wall decor.","PHP 2777.78","Bundle Deals","Wall Art","Multicolor","Set of 3","Butterfly","butterfly, framed, Filipino gift","Unspecified","Unspecified","PrettyfulShop"
"One Fish Two Fish Red Fish Blue Fish by Dr. Seuss","Vintage children's book, 1960s beginner's collectible picture book.","PHP 1234.57","Vintage","Children's Book","Multicolor","Standard","Paper","Dr. Seuss, children's book, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Anchor Hocking Prescut Star of David Clear Glass Oval Relish Dish","1960s collectible lead crystal dining kitchen essential.","PHP 987.65","Vintage","Dish","Clear","Oval","Glass","Anchor Hocking, crystal dish, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage 1979 Collectors Plate 'Frere et Soeur' by Bouguereau","Limited edition porcelain plate, Royal Cornwall Ltd.","PHP 1543.21","Vintage","Collectors Plate","Multicolor","Standard","Porcelain","Bouguereau, collectible plate, Royal Cornwall","Unspecified","Unspecified","PrettyfulShop"
"Vintage Made in Japan Art Pottery Mug","Embossed textured ceramic mug, 107th Supreme Convention Baltimore Maryland.","PHP 1543.21","Vintage","Mug","Brown","Standard","Ceramic","Japan pottery, collectible mug","Unspecified","Unspecified","PrettyfulShop"
"Vintage Hand Carved Wood Teak Vase","Solid ornate urn floral rustic candle holders set of two, 8in tall.","PHP 2469.14","Vintage","Vase","Brown","8in","Wood","teak vase, candle holder, collectible","Unspecified","Unspecified","PrettyfulShop"
"Can You Tell Me How To Get To Sesame Street","Children's book, 1997 beginner's collectible picture book.","PHP 1234.57","Vintage","Children's Book","Multicolor","Standard","Paper","Sesame Street, children's book, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Elegant Lead Crystal Sugar and Creamer Set","Matching floral server set with handle, 1980s collectible decorative glass.","PHP 1851.85","Vintage","Glassware","Clear","Standard","Crystal","sugar creamer, collectible glass","Unspecified","Unspecified","PrettyfulShop"
"Vintage Elegant Deep Cut Lead Crystal Creamer Cup","With lid and handle, 1980s collectible decorative glass.","PHP 1234.57","Vintage","Glassware","Clear","Standard","Crystal","creamer cup, collectible glass","Unspecified","Unspecified","PrettyfulShop"
"Vintage Heisey Clear Colonial Glass Crystal Dish","Relish jelly candy bowl with handle, 1980s collectible pressed cut design.","PHP 925.93","Vintage","Dish","Clear","Standard","Glass","Heisey, collectible dish, pressed cut","Unspecified","Unspecified","PrettyfulShop"
"Vintage Anchor Hocking Prescut Star of David Candy Bowl","5in hobstars candy bowl, 1960s collectible heavy crystal.","PHP 925.93","Vintage","Bowl","Clear","5in","Glass","Anchor Hocking, candy bowl, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Cristal D'Arques Longchamp Pitcher","French lead crystal 52oz beverage jug, 1990s elegant kitchen dining essential.","PHP 1790.12","Vintage","Pitcher","Clear","52oz","Crystal","Cristal D'Arques, pitcher, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Federal Windsor Button and Cane Platter","11in clear glass serving plate, 1970s collectible crystal.","PHP 2160.49","Vintage","Platter","Clear","11in","Glass","Federal Windsor, platter, collectible","Unspecified","Unspecified","PrettyfulShop"
"Thomas and the School Trip by Rev W. Awdry","Children's vintage book, 1990s collectible picture book.","PHP 1234.57","Vintage","Children's Book","Multicolor","Standard","Paper","Thomas, children's book, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Anchor Hocking Star Prescut Oval Divided Relish Dish","1960s collectible heavy crystal dining accessory.","PHP 987.65","Vintage","Dish","Clear","Oval","Glass","Anchor Hocking, relish dish, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Heisey Clear Colonial Glass Crystal Narrow Dish","9in oval bowl scalloped edge, 1980s collectible pressed cut design.","PHP 925.93","Vintage","Dish","Clear","9in","Glass","Heisey, oval dish, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Cut Glass Lead Crystal Frosted Rose Candle Holders","Set of 2, 2000s collectible floral design.","PHP 1543.21","Vintage","Candle Holder","Clear","Standard","Crystal","rose pattern, candle holder, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Heart-shaped Wooden Plaque","'May God's Love Warm Our Home' wall decoration, 1980s collectible wood-crafted sign.","PHP 1851.85","Vintage","Wall Decor","Brown","Heart","Wood","wooden plaque, collectible decor","Unspecified","Unspecified","PrettyfulShop"
"Vintage Honey Amber Gold Bubble Glass Dinner Plates","2pcs, 12in yellow bubble crystal platter, 2000s collectible dining essentials.","PHP 1851.85","Vintage","Plate","Amber","12in","Glass","bubble glass, dinner plate, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage 1979 Collectors Plate 'Jean Et Jeanette' by Bouguereau","Limited edition porcelain plate, Royal Cornwall Ltd.","PHP 1543.21","Vintage","Collectors Plate","Multicolor","Standard","Porcelain","Bouguereau, collectible plate, Royal Cornwall","Unspecified","Unspecified","PrettyfulShop"
"Vintage Sweet Memories Picture Frame & Photo Album","Golden photograph frame, holds 48 prints, 2000s memory storage.","PHP 1543.21","Vintage","Frame","Gold","Standard","Wood/Glass","photo album, collectible frame","Unspecified","Unspecified","PrettyfulShop"
"Danbury Mint Story Book Doll 'Bedtime Prayers'","Porcelain doll, 10in, original packaging, 1990s collectible.","PHP 3086.42","Vintage","Doll","Multicolor","10in","Porcelain","porcelain doll, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage White Porcelain Swan Vase","Two posing graceful swans sculptured flower vase, 1990s elegant home decor.","PHP 1543.21","Vintage","Vase","White","Standard","Porcelain","swan vase, collectible decor","Unspecified","Unspecified","PrettyfulShop"
"Vintage Enamel Brass Leafy Candle Holder","Classic French style tapered candlestick, 2000s collectible home decor.","PHP 1543.21","Vintage","Candle Holder","Brass","Standard","Metal","enamel brass, candle holder, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Tilso Japan Millefiori Art Glass Paperweight","Multicolor tabletop office décor, 2000s collectible art glass.","PHP 2160.49","Vintage","Paperweight","Multicolor","Standard","Glass","Tilso Japan, paperweight, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Square Pillar Resin Candleholder Set of 2","Fall/Autumn decor, 1990s vintage resin candle holders.","PHP 3086.42","Vintage","Candle Holder","Brown","Set of 2","Resin","resin, candle holder, vintage decor","Unspecified","Unspecified","PrettyfulShop"
"Vintage Anchor Hocking Star of David Prescut Tall Scalloped Rim Vase","1960s collectible heavy crystal flower display vessel.","PHP 1543.21","Vintage","Vase","Clear","Tall","Glass","Anchor Hocking, vase, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Indiana Glass Pineapple and Floral Clear Compote Bowl","1950s collectible footed candy/trinket dish.","PHP 925.93","Vintage","Bowl","Clear","Footed","Glass","Indiana Glass, compote bowl, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Eiffel Tower Glass Bottle Decanter","1980s decorative collectible clear glass bottle.","PHP 1851.85","Vintage","Bottle","Clear","Standard","Glass","Eiffel Tower, decanter, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Mikasa Shell Design Glass Crystal 4 Piece Bowl Set","2000s collectible dip bowls, relish bowls, condiments bowls.","PHP 2160.49","Vintage","Bowl","Clear","Set of 4","Glass","Mikasa, bowl set, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage 1981 Treasury of Thoughts Genuine Porcelain Plaque","Made in Japan, decorative wall plaque.","PHP 925.93","Vintage","Plaque","White","Standard","Porcelain","porcelain plaque, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Herringbone Anchor Hocking Candle Holder","1960s collectible pressed glass taper candleholder.","PHP 740.74","Vintage","Candle Holder","Clear","Standard","Glass","Anchor Hocking, candle holder, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage 1988 Action Industries Hand Cut Etched Glass Floral Vase","1980s collectible glass floral display container.","PHP 1111.11","Vintage","Vase","Clear","Standard","Glass","etched glass, floral vase, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Lenox Crystal Ovations Star Radiance Tea-light Votive Candle Holder","2000s collectible transparent glass candleholder.","PHP 925.93","Vintage","Candle Holder","Clear","Standard","Glass","Lenox, votive candle holder, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Silver-plated Ornate Metal Butter Dish with Lid","2000s collectible Victorian style butter dish.","PHP 1543.21","Vintage","Dish","Silver","Standard","Metal","butter dish, silver-plated, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Pineapple Style Heavy Clear Glass Toothpick Holder Set of 2","1980s collectible textured glass dining decor.","PHP 925.93","Vintage","Holder","Clear","Set of 2","Glass","pineapple style, toothpick holder, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Burwood Wall Pocket Hanging Planter","1990s collectible nursery room decor with teddy bear design.","PHP 1543.21","Vintage","Planter","Multicolor","Standard","Resin","Burwood, wall pocket, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Interpur Music Box Ceramic Red Cardinal Bird","1990s collectible classic music box made in Taiwan.","PHP 1543.21","Vintage","Music Box","Red","Standard","Ceramic","cardinal bird, music box, collectible","Unspecified","Unspecified","PrettyfulShop"
"Wedgwood Venice Round Trinket Box","White and light blue porcelain keepsake container.","PHP 1111.11","Vintage","Trinket Box","White/Blue","Round","Porcelain","Wedgwood, trinket box, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Paul Revere Reproduction Small 5in Brass Silvertone Bowl","2000s collectible silverplated kitchen dining metalware.","PHP 1234.57","Vintage","Bowl","Silver","5in","Metal","Paul Revere, reproduction bowl, collectible","Unspecified","Unspecified","PrettyfulShop"
"Vintage Heavy Clear Crystal Cut Glass Frosted Fruit Pattern Bowl","1960s collectible crystal dining kitchen essential.","PHP 1234.57","Vintage","Bowl","Clear","Standard","Crystal","fruit pattern, crystal bowl, collectible","Unspecified","Unspecified","PrettyfulShop"
