PRODUCT TITLE,PRODUCT DESCRIPTION,COLOR,SIZE,MATERIAL,TEXT_CONTENT
Pinoy Points: Filipino Points Sticker Set,"A playful set of vinyl stickers designed as colorful tickets featuring popular Tagalog point-based expressions: Pogi Points (handsome points), Ganda Points (pretty points), Pangit Points (ugly points), and Ligtas Points (saved points). These phrases are rooted in Filipino pop culture and humor-Pogi Points was widely used in the 90s-2000s to reward good deeds with “handsome credit,” while Ligtas Points is a meme-worthy metric for judging morally questionable laughter. Each sticker is printed with bold text and whimsical icons, perfect for party decor, journals, laptops, or gifting to your most pogi or least ligtas friends.",Multi-Colored,3 IN x 1.5 IN,"Vinyl, Ink",pinoy points filipino points sticker set a playful set of vinyl stickers designed as colorful tickets featuring popular tagalog point based expressions pogi points handsome points ganda points pretty points pangit points ugly points and ligtas points saved points these phrases are rooted in filipino pop culture and humor pogi points was widely used in the 90s 2000s to reward good deeds with handsome credit while ligtas points is a meme worthy metric for judging morally questionable laughter each sticker is printed with bold text and whimsical icons perfect for party decor journals laptops or gifting to your most pogi or least ligtas friends multi colored 3 in x 1 5 in vinyl ink
Mang Tomas and Banana Ketchup: Filipino Sauces Parody Sticker Set,"A set of vinyl stickers parodying iconic Filipino condiments-Jufran Banana Ketchup and Mang Tomas Lechon Sauce-in a fictional “2024 Filipino Sauce Shortage.” Each sticker features playful bottle illustrations and humorous survival slogans like “I survived the 2024 banana ketchup shortage” and “I survived the 2024 lechon sauce shortage.” Inspired by real-life brand bans in the USA, these fantasy product designs are perfect for party decor, journals, laptops, or gifting to your most sauce-loyal friends.",Multi-Colored,APPRO x . 3 IN x 4 IN,"Vinyl, Ink",mang tomas and banana ketchup filipino sauces parody sticker set a set of vinyl stickers parodying iconic filipino condiments jufran banana ketchup and mang tomas lechon sauce in a fictional 2024 filipino sauce shortage each sticker features playful bottle illustrations and humorous survival slogans like i survived the 2024 banana ketchup shortage and i survived the 2024 lechon sauce shortage inspired by real life brand bans in the usa these fantasy product designs are perfect for party decor journals laptops or gifting to your most sauce loyal friends multi colored appro x 3 in x 4 in vinyl ink
"Toyo, Suka, Patis: Filipino Sauces Parody Sticker Set","A set of 4 × 1.5 in vinyl stickers parodying iconic Filipino pantry staples-Toyo (soy sauce), Suka (vinegar), and Patis (fish sauce). Inspired by real-life Pinoy brands and the recent U.S. import bans, these fantasy product designs feature playful bottle illustrations and Tagalog labels that celebrate Filipino humor and condiment culture. Perfect for party decor, journals, laptops, or gifting to your most sawsawan-obsessed friends.",Multi-Colored,4 IN x 1.5 IN,"Vinyl, Ink",toyo suka patis filipino sauces parody sticker set a set of 4 1 5 in vinyl stickers parodying iconic filipino pantry staples toyo soy sauce suka vinegar and patis fish sauce inspired by real life pinoy brands and the recent u s import bans these fantasy product designs feature playful bottle illustrations and tagalog labels that celebrate filipino humor and condiment culture perfect for party decor journals laptops or gifting to your most sawsawan obsessed friends multi colored 4 in x 1 5 in vinyl ink
Philippine Flag Banner: Sticker Set,"A 6 × 1.5 in vinyl sticker featuring a vertical orientation of the Philippine flag presented as a festive garland. Each flag in the banner showcases the iconic design-blue on top, red below, and a white triangle with a yellow sun and three stars-arranged in a celebratory string format. This sticker is perfect for party decor, planners, laptops, or gifting to proud Pinoys.",Multi-Colored,6 IN x 1.5 IN,"Vinyl, Ink",philippine flag banner sticker set a 6 1 5 in vinyl sticker featuring a vertical orientation of the philippine flag presented as a festive garland each flag in the banner showcases the iconic design blue on top red below and a white triangle with a yellow sun and three stars arranged in a celebratory string format this sticker is perfect for party decor planners laptops or gifting to proud pinoys multi colored 6 in x 1 5 in vinyl ink
Quirky and Witty Coin Purses in Tagalog,"A set of handmade zip coin purses featuring witty Tagalog phrases that capture the humor and hustle of everyday Filipino life. Each pouch is printed with bold, minimalist text on white canvas and includes one of the following designs: Sukli (spare change), Gastos na naman! (when you just spent again), I dasurv nice things (a swardspeak affirmation), walang ipon club (proudly broke, but thriving). These compact pouches are perfect for coins, bills, or small essentials, and make great gifts for your gastadora bestie or dalagang Pilipina with a sense of humor.",White/Black,4.5 IN x 3.74 IN,"Canvas, Ink, Zipper",quirky and witty coin purses in tagalog a set of handmade zip coin purses featuring witty tagalog phrases that capture the humor and hustle of everyday filipino life each pouch is printed with bold minimalist text on white canvas and includes one of the following designs sukli spare change gastos na naman when you just spent again i dasurv nice things a swardspeak affirmation walang ipon club proudly broke but thriving these compact pouches are perfect for coins bills or small essentials and make great gifts for your gastadora bestie or dalagang pilipina with a sense of humor white black 4 5 in x 3 74 in canvas ink zipper
Bawal Umihi Dito - Funny Tagalog Stickers,"A 3 × 3 in vinyl sticker featuring the iconic Filipino warning “Bawal Umihi Dito”-a phrase commonly seen on public walls across the Philippines meaning “No urinating here.” This humorous design comes in two styles: a brick wall background with cursive text, and a highway sign format with bold lettering. It’s a cheeky nod to street culture and everyday Filipino signage, perfect for laptops, journals, water bottles, or gifting to friends with a sense of humor.",Multi-Colored,3 IN x 3 IN,"Vinyl, Ink",bawal umihi dito funny tagalog stickers a 3 3 in vinyl sticker featuring the iconic filipino warning bawal umihi dito a phrase commonly seen on public walls across the philippines meaning no urinating here this humorous design comes in two styles a brick wall background with cursive text and a highway sign format with bold lettering it s a cheeky nod to street culture and everyday filipino signage perfect for laptops journals water bottles or gifting to friends with a sense of humor multi colored 3 in x 3 in vinyl ink
Jollibee Fan Art Sticker,"A 3.5-in vinyl sticker featuring Jollibee -a playful fan art rendition of Jollibee in YourCoolNinang’s signature art style. This cartoon-style bee character dons a red tuxedo and black bow tie, radiating charm and Filipino fast-food nostalgia. Perfect for laptops, journals, water bottles, or gifting to fellow Jollibee fans.",Multi-Colored,3.5 IN x 3.5 IN,"Vinyl, Ink",jollibee fan art sticker a 3 5 in vinyl sticker featuring jollibee a playful fan art rendition of jollibee in yourcoolninang s signature art style this cartoon style bee character dons a red tuxedo and black bow tie radiating charm and filipino fast food nostalgia perfect for laptops journals water bottles or gifting to fellow jollibee fans multi colored 3 5 in x 3 5 in vinyl ink
Jeepney Lakwatsa Filipino Sticker (STK-JPN-001),"A 3 × 3 in vinyl sticker featuring a stylized illustration of a Filipino jeepney-a beloved and colorful form of public transportation in the Philippines. The design includes the word “Lakwatsa” on the signboard, a Tagalog slang term meaning galavanting or going out for fun. With vibrant colors and a playful layout, this sticker celebrates Pinoy street culture and wanderlust. Perfect for laptops, journals, water bottles, or gifting to your most lakwatsera friends.",Multi-Colored,3 IN x 3 IN,"Vinyl, Ink",jeepney lakwatsa filipino sticker stk jpn 001 a 3 3 in vinyl sticker featuring a stylized illustration of a filipino jeepney a beloved and colorful form of public transportation in the philippines the design includes the word lakwatsa on the signboard a tagalog slang term meaning galavanting or going out for fun with vibrant colors and a playful layout this sticker celebrates pinoy street culture and wanderlust perfect for laptops journals water bottles or gifting to your most lakwatsera friends multi colored 3 in x 3 in vinyl ink
Philippine Flag Ice Cream Popsicle Sticker,"A 3.5 × 1.75 in vinyl sticker featuring a playful ice cream popsicle design inspired by the Philippine flag. This street food-themed illustration blends national pride with summer vibes, showcasing the flag’s iconic blue, red, white, and yellow elements-complete with the sun and three stars. Perfect for planners, laptops, water bottles, or gifting to proud Pinoys with a sweet tooth.","Red, Blue, Yellow, White",3.5 IN x 1.75 IN,"Vinyl, Ink",philippine flag ice cream popsicle sticker a 3 5 1 75 in vinyl sticker featuring a playful ice cream popsicle design inspired by the philippine flag this street food themed illustration blends national pride with summer vibes showcasing the flag s iconic blue red white and yellow elements complete with the sun and three stars perfect for planners laptops water bottles or gifting to proud pinoys with a sweet tooth red blue yellow white 3 5 in x 1 75 in vinyl ink
Philippine Flag-Inspired Badge Reel ID Holder,"A set of handmade badge reels featuring Philippine flag-inspired designs-perfect for healthcare workers and professionals who want to display Filipino pride in a subtle yet stylish way. These ID holders come in various shapes including pixel hearts, stethoscopes, scrubs, and classic rounds, all incorporating the flag’s iconic blue, red, white, and yellow elements. Whether you're trying to spot fellow Pinoys at work or simply want to add cultural flair to your uniform, these resin-crafted reels are sleek enough to meet dress codes while loud enough to spark joy.","Red, Blue, Yellow, White",APPRO x . 1.75 IN x 1.75 IN,Resin,philippine flag inspired badge reel id holder a set of handmade badge reels featuring philippine flag inspired designs perfect for healthcare workers and professionals who want to display filipino pride in a subtle yet stylish way these id holders come in various shapes including pixel hearts stethoscopes scrubs and classic rounds all incorporating the flag s iconic blue red white and yellow elements whether you re trying to spot fellow pinoys at work or simply want to add cultural flair to your uniform these resin crafted reels are sleek enough to meet dress codes while loud enough to spark joy red blue yellow white appro x 1 75 in x 1 75 in resin
Sphere Arras Arrhae Unity Wedding Coins for Filipino Wedding Ceremony,"A handcrafted 2.5-in spherical wire container designed to hold Filipino wedding unity coins, also known as Arras or Arrae. Made in the Philippines, this elegant piece features intricate metalwork and includes genuine Philippine peso coins electroplated in silver or gold for a radiant finish. Traditionally used in Filipino Catholic weddings to symbolize shared prosperity, this unity element can be beautifully incorporated into any ceremony-religious or secular-as a gesture of cultural pride and commitment. Perfect for couples honoring Filipino heritage in their wedding rituals.",Silver/Gold,2.5 IN diameter,"Metal Wire, Electroplated Philippine Peso Coins",sphere arras arrhae unity wedding coins for filipino wedding ceremony a handcrafted 2 5 in spherical wire container designed to hold filipino wedding unity coins also known as arras or arrae made in the philippines this elegant piece features intricate metalwork and includes genuine philippine peso coins electroplated in silver or gold for a radiant finish traditionally used in filipino catholic weddings to symbolize shared prosperity this unity element can be beautifully incorporated into any ceremony religious or secular as a gesture of cultural pride and commitment perfect for couples honoring filipino heritage in their wedding rituals silver gold 2 5 in diameter metal wire electroplated philippine peso coins
"3"" Handmade Capiz Ornaments - Star, Heart & Poinsettia Filipino Christmas Carols","A 3-in handmade ornament crafted from authentic Capiz shells, shaped into a playful Tala Star design. Lovingly made in Pampanga-the Christmas and Lantern Capital of the Philippines-this shimmering piece captures the spirit of Filipino holiday traditions. Whether hung on a tree, displayed in a window, or gifted as a keepsake, each ornament adds a twinkling touch of cultural charm to your decor. Also available in 5-in variations and mini parol styles like hearts and poinsettias.",Translucent White/Gold,3 IN diameter,"Capiz Shell, Metal Frame",3 handmade capiz ornaments star heart poinsettia filipino christmas carols a 3 in handmade ornament crafted from authentic capiz shells shaped into a playful tala star design lovingly made in pampanga the christmas and lantern capital of the philippines this shimmering piece captures the spirit of filipino holiday traditions whether hung on a tree displayed in a window or gifted as a keepsake each ornament adds a twinkling touch of cultural charm to your decor also available in 5 in variations and mini parol styles like hearts and poinsettias translucent white gold 3 in diameter capiz shell metal frame
"5"" Handmade Capiz Star Parol Chime with Gold Heart Frame & Cascading Discs - Filipino Christmas Ornament","Celebrate the warmth and wonder of Pasko with this 5-in handcrafted Capiz Mini Parol Chime, a luminous keepsake rooted in Filipino tradition and artisan craft. Made in Pampanga-the Christmas and Lantern Capital of the Philippines-each ornament features a five-point star parol framed in gold metal with hand-formed swirls, symbolizing hope, faith, and the enduring Filipino spirit. Cascading capiz discs below create a gentle, calming chime that evokes seaside serenity and the glow of lanterns guiding families home during Simbang Gabi. Hang it by your window, mantel, or tree to bring shimmer, heritage, and holiday joy into your space. Also available in 3-in Pasko ornaments and other 5-in designs.",Translucent White/Gold,5 IN diameter WITH CASCADING TAILS,"Capiz Shell, Metal Frame",5 handmade capiz star parol chime with gold heart frame cascading discs filipino christmas ornament celebrate the warmth and wonder of pasko with this 5 in handcrafted capiz mini parol chime a luminous keepsake rooted in filipino tradition and artisan craft made in pampanga the christmas and lantern capital of the philippines each ornament features a five point star parol framed in gold metal with hand formed swirls symbolizing hope faith and the enduring filipino spirit cascading capiz discs below create a gentle calming chime that evokes seaside serenity and the glow of lanterns guiding families home during simbang gabi hang it by your window mantel or tree to bring shimmer heritage and holiday joy into your space also available in 3 in pasko ornaments and other 5 in designs translucent white gold 5 in diameter with cascading tails capiz shell metal frame
Philippines Capiz Reversible Circle Necklace Pendant,"A handcrafted pendant necklace inspired by traditional Filipino capiz windows (ventanas), designed and made in the Philippines by skilled artisans from Negros Island with 15-25 years of experience in shell and wood carving. The reversible pendant features locally sourced capiz shells from Hinigaran, Negros-one side polished smooth, the other etched with a quadrant window pattern crafted from hagnaya vine, a native Philippine fern. Suspended on an 18-in stainless steel gold-plated chain with a 2-in extender, this lightweight piece celebrates heritage, craftsmanship, and individuality. Each necklace carries intentional imperfections-variations in cut, color, and texture-making every piece uniquely yours.",White/Gold/Wood Tones,"PENDANT: APPRO x . 15 IN diameter, CHAIN: 18 IN + 2 IN E x TENDER","Capiz Shell, Hagnaya Vine, Gold-Plated Stainless Steel",philippines capiz reversible circle necklace pendant a handcrafted pendant necklace inspired by traditional filipino capiz windows ventanas designed and made in the philippines by skilled artisans from negros island with 15 25 years of experience in shell and wood carving the reversible pendant features locally sourced capiz shells from hinigaran negros one side polished smooth the other etched with a quadrant window pattern crafted from hagnaya vine a native philippine fern suspended on an 18 in stainless steel gold plated chain with a 2 in extender this lightweight piece celebrates heritage craftsmanship and individuality each necklace carries intentional imperfections variations in cut color and texture making every piece uniquely yours white gold wood tones pendant appro x 15 in diameter chain 18 in 2 in e x tender capiz shell hagnaya vine gold plated stainless steel
Philippine Capiz Crescent Stud Earrings,"A pair of 1.25-in crescent-shaped stud earrings handcrafted from locally sourced capiz shells in Hinigaran, Negros. Each shell is carefully cleaned and roasted to achieve a warm, natural glow, then shaped by artisans with 15-25 years of experience in traditional Filipino shell and wood crafting. The crescent design is inspired by the curved elegance of capiz windows, reflecting heritage and individuality. Mounted on stainless steel gold-plated hardware, these earrings are lightweight and perfect for everyday wear. Each piece features intentional imperfections-variations in cut, color, and texture-that highlight the organic beauty and story of Filipino craftsmanship.",Translucent White/Gold,1.25 IN diameter,"Capiz Shell, Gold-Plated Stainless Steel",philippine capiz crescent stud earrings a pair of 1 25 in crescent shaped stud earrings handcrafted from locally sourced capiz shells in hinigaran negros each shell is carefully cleaned and roasted to achieve a warm natural glow then shaped by artisans with 15 25 years of experience in traditional filipino shell and wood crafting the crescent design is inspired by the curved elegance of capiz windows reflecting heritage and individuality mounted on stainless steel gold plated hardware these earrings are lightweight and perfect for everyday wear each piece features intentional imperfections variations in cut color and texture that highlight the organic beauty and story of filipino craftsmanship translucent white gold 1 25 in diameter capiz shell gold plated stainless steel
Philippine Indigenous Linulid Brass Earings,"Add a dash of cultural flair to your style with these Linulid Brass Earrings, proudly handcrafted by the Tboli brass-casters of Lake Sebu, South Cotabato. Each 3.5-in piece is made from upcycled brass objects, shaped through the traditional art of Temwel-a centuries-old brass casting technique. The design draws inspiration from the bluko motif and honors the lumulid process, where artisans roll wax to form intricate molds. These earrings are not just accessories-they’re wearable stories of transformation, heritage, and Filipino Indigenous artistry.",Antique Brass,3.5 IN LENGTH,"Upcycled Brass, Brass Hooks",philippine indigenous linulid brass earings add a dash of cultural flair to your style with these linulid brass earrings proudly handcrafted by the tboli brass casters of lake sebu south cotabato each 3 5 in piece is made from upcycled brass objects shaped through the traditional art of temwel a centuries old brass casting technique the design draws inspiration from the bluko motif and honors the lumulid process where artisans roll wax to form intricate molds these earrings are not just accessories they re wearable stories of transformation heritage and filipino indigenous artistry antique brass 3 5 in length upcycled brass brass hooks
Philippine Lila Pearl Earrings,"More than a piece of jewelry, the Lila Pearl Earrings tell the story of the Philippine islands and flowers by the sea. handcrafted by Filipino women artisans across the archipelago, each pair features silk organza flowers with brass caps, paired with baroque South Sea pearls locally sourced from Cebu City. The earrings are mounted on stainless steel gold-plated hardware and measure 2 in in length-lightweight and elegant for all-day wear. Every piece carries intentional imperfections, celebrating the organic beauty of nature and the individuality of handmade craft. These earrings are a joyful addition to any Filipino jewelry collection and a tribute to heritage, femininity, and coastal charm.",Gold/White/Cream,2 IN LENGTH,"Pearl, Baroque Pearl, Freshwater Pearls, Silk Organza, Brass, Stainless Steel",philippine lila pearl earrings more than a piece of jewelry the lila pearl earrings tell the story of the philippine islands and flowers by the sea handcrafted by filipino women artisans across the archipelago each pair features silk organza flowers with brass caps paired with baroque south sea pearls locally sourced from cebu city the earrings are mounted on stainless steel gold plated hardware and measure 2 in in length lightweight and elegant for all day wear every piece carries intentional imperfections celebrating the organic beauty of nature and the individuality of handmade craft these earrings are a joyful addition to any filipino jewelry collection and a tribute to heritage femininity and coastal charm gold white cream 2 in length pearl baroque pearl freshwater pearls silk organza brass stainless steel
Philippine Indigenous Olo Spiral Brass Ring,"A handcrafted spiral brass ring designed by Tboli brass-casters from Lake Sebu, South Cotabato, using the traditional art of Kemteng-a process that involves heating and pulling brass wire to form elegant spirals. Each ring is made from upcycled brass sourced from local junk shops, transformed into wearable art that honors Tboli folklore, nature, and craftsmanship. The spirals can be gently stretched for a more dramatic effect, though they will not return to their original shape. Rings are produced in small batches to preserve quality and individuality, with intentional imperfections that reflect the handmade nature of each piece.",Antique Brass,US RING SIZES 5-6,Upcycled Brass,philippine indigenous olo spiral brass ring a handcrafted spiral brass ring designed by tboli brass casters from lake sebu south cotabato using the traditional art of kemteng a process that involves heating and pulling brass wire to form elegant spirals each ring is made from upcycled brass sourced from local junk shops transformed into wearable art that honors tboli folklore nature and craftsmanship the spirals can be gently stretched for a more dramatic effect though they will not return to their original shape rings are produced in small batches to preserve quality and individuality with intentional imperfections that reflect the handmade nature of each piece antique brass us ring sizes 5 6 upcycled brass
